frame,road_width_px,road_width_ft
1064,256.0,10.24
1065,256.0,10.24
1067,256.0,10.24
1070,256.0,10.24
1071,256.0,10.24
1072,256.0,10.24
1073,256.0,10.24
1074,256.0,10.24
1078,256.0,10.24
1080,256.0,10.24
1084,256.0,10.24
1085,256.0,10.24
1086,256.0,10.24
1087,256.0,10.24
1088,256.0,10.24
1089,256.0,10.24
1090,256.0,10.24
1091,256.0,10.24
1092,256.0,10.24
1093,256.0,10.24
1094,256.0,10.24
1095,256.0,10.24
1096,256.0,10.24
1097,256.0,10.24
1098,256.0,10.24
1099,256.0,10.24
1100,256.0,10.24
1101,256.0,10.24
1102,256.0,10.24
1103,256.0,10.24
1121,256.0,10.24
1122,256.0,10.24
1123,256.0,10.24
1132,256.0,10.24
1134,256.0,10.24
1135,256.0,10.24
1136,256.0,10.24
1137,256.0,10.24
1138,256.0,10.24
1139,256.0,10.24
1140,256.0,10.24
1141,256.0,10.24
1142,256.0,10.24
1143,256.0,10.24
1144,256.0,10.24
1145,256.0,10.24
1146,256.0,10.24
1147,256.0,10.24
1148,256.0,10.24
1149,256.0,10.24
1152,256.0,10.24
1154,256.0,10.24
1157,256.0,10.24
1158,256.0,10.24
1159,256.0,10.24
1160,256.0,10.24
1161,256.0,10.24
1162,256.0,10.24
1163,256.0,10.24
1164,256.0,10.24
1165,256.0,10.24
1166,256.0,10.24
1167,256.0,10.24
1168,256.0,10.24
1169,256.0,10.24
1170,256.0,10.24
1171,256.0,10.24
1172,256.0,10.24
1173,256.0,10.24
1174,256.0,10.24
1175,256.0,10.24
1176,256.0,10.24
1177,256.0,10.24
1178,256.0,10.24
1179,256.0,10.24
1180,256.0,10.24
1181,256.0,10.24
1182,256.0,10.24
1183,256.0,10.24
1184,256.0,10.24
1185,256.0,10.24
1187,256.0,10.24
1188,256.0,10.24
1189,256.0,10.24
1190,256.0,10.24
1192,256.0,10.24
1193,256.0,10.24
1194,256.0,10.24
1195,256.0,10.24
1196,256.0,10.24
1197,256.0,10.24
1199,256.0,10.24
1200,256.0,10.24
1201,256.0,10.24
1202,256.0,10.24
1203,256.0,10.24
1204,256.0,10.24
1205,256.0,10.24
1206,256.0,10.24
1207,256.0,10.24
1209,256.0,10.24
1210,256.0,10.24
1211,256.0,10.24
1212,256.0,10.24
1213,256.0,10.24
1214,256.0,10.24
1215,256.0,10.24
1216,256.0,10.24
1217,256.0,10.24
1218,256.0,10.24
1220,256.0,10.24
1221,256.0,10.24
1222,256.0,10.24
1223,256.0,10.24
1224,256.0,10.24
1225,256.0,10.24
1226,256.0,10.24
1227,256.0,10.24
1228,256.0,10.24
1229,256.0,10.24
1230,256.0,10.24
1231,256.0,10.24
1232,256.0,10.24
1233,256.0,10.24
1234,256.0,10.24
1236,256.0,10.24
1237,256.0,10.24
1238,256.0,10.24
1239,256.0,10.24
1243,256.0,10.24
1245,256.0,10.24
1249,256.0,10.24
1250,256.0,10.24
1253,256.0,10.24
1255,256.0,10.24
1256,256.0,10.24
1257,256.0,10.24
1258,601.0,24.04
1259,256.0,10.24
